Objetivo,Local,Vilão,Aliado,Complicação
Matar uma pessoa importante,Ruínas de uma cidade antiga,Feiticeiro poderoso,Um bardo viajante,Um grande tesouro está em risco
Atacar uma organização,Ruínas da torre de um feiticeiro,Sacerdote de entidade caótica,Um ladrão bon vivant,Água e comida estão escassos
Atacar uma comunidade,Ruínas de um forte,Líder bárbaro selvagem,Um bárbaro espirituoso,O inimigo possui recursos infindáveis
Destruir um artefato,Ruínas da tumba de um antigo rei,Rei,Um sacerdote,As armas dos aventureiros não são eficazes
Atacar uma criatura,Ruínas de um pequeno vilarejo isolado,Líder de uma guilda influente,Um feiticeiro,Algo torna a magia mais caótica
Atacar um local,Ruínas de um templo antigo,Guerreiro ganancioso,Um cavaleiro vingador,O grupo é roubado
Encontrar uma pessoa desaparecida,Ilha exótica perdida,Um golem assassino,Capitão de um navio,Uma grande população de inocentes é afetada
Encontrar uma pessoa sequestrada,Ilha dos Mortos,Um colar com a alma de um feiticeiro antigo,Lorde local,Pessoa amada é afetada
Recuperar um objeto perdido,Um vale proibido,Uma espada de um cavaleiro demoníaco,Líder de uma guilda influente,"Rival afetado, que pede ajuda"
Recuperar um objeto roubado,Selva pré-histórica,Uma orbe negra com consciência alienígena,Um xamã ancião,Nobre orgulhoso
Econtrar uma criatura rara,Templo no alto de uma montanha,Uma joia que gera cobiça de quem a usa,Um feiticeiro antigo,Monstro
Encontrar uma planta rara,Caverna subterrânea,Uma estatueta que domina a mente das pessoas ao redor,Um líder militar,Local
Roubar uma obra de arte ou joia,No templo local,Uma guilda de mercadores maligna,Um grupo de mercenários,Tempestade
Roubar um item mágico,No castelo do Lorde,Um culto a entidades caóticas,Uma ordem religiosa,Monstro a solta
Roubar um grimório,Na sede de uma guilda de mercadores,Piratas,Guilda influente,Vulcão em erupção
Sequestrar uma pessoa importante,Em um museu,Guilda de Assassinos,Sociedade secreta,Explosão mágica
Sequestrar uma criatura poderosa,Na casa de um nobre,Sociedade Secreta,Comunidade local,Plantas carnívoras
Roubar um mapa ou pergaminho importante,No subterrâneo da cidade,Grupo de aventureiros rival,Grupo de aventureiros,Animais selvagens
Proteger uma comunidade,No forte local,Ser primordial desperto,Mutante deformado com boas intenções,Grupo rival de aventureiros
Proteger um local,Em um pequeno vilarejo,Besta mitológica solta de sua prisão acidentalmente,Alienígena,Seita que quer que tudo continue equilibrado
Proteger uma pessoa,Nas cavernas das colinas próximas,Experimento de feiticeiro que deu errado,Raça Ancestral,Grupo de mercenários em busca de dinheiro
Proteger um objeto importante,Na floresta escura,Animais gigantes famintos,Criaturas místicas,Grupo fatalista
Proteger uma caravana,No território onde vivem os inimigos,Humanoides bestiais e primitivos,Animal inteligente,Casa nobre que quer ganhar algo com a história
Proteger uma organização,Em uma estalagem na estrada,Homens-bestas,Morto-Vivo,Inimigo do antagonista que quer seu lugar
Explorar uma nova rota ou caminho,Selvas infestadas de canibais,Morto-Vivo,Deus esquecido,Uma maldição
Explorar uma ilha exótica,Deserto dominado por nômades saqueadores,Lich,Seres de outras dimensões,Local que é jogado em outro plano
Explorar uma ruína,"Pântano sinistro, considerado amaldiçoado",Alienígena,Forças naturais,Fantasmas das vítimas que se manifestam
Explorar as catacumbas de uma cidade,Cavernas habitadas por monstros selvagens,Homem-Serpente,Um Imortal,O local é sagrado para algum povo
Descobrir um novo feitiço sinistro,Montanhas inexploradas,Raça ancestral,Espírito,Uma proteção mágica como barreira
Descobrir o paradeiro de algum objeto poderoso,Floresta infestada de monstros sinistros,Metamorfo,Entidade primordial,Uma praga mágica
Sobreviver a um naufrágio,Ruínas sobre um vulcão,Deus antigo e louco,Espada mágica,As vítimas não são o que parecem ser
Escapar de uma prisão,Caverna de cristal,Fantasmas,Amuleto abençoado,O antagonista não é o que parece
Escapar da caçada por uma guilda de assassinos,Monólito que é muito maior em seu interior do que aparenta do lado de fora,Seres de outra dimensão,Tecnologia alienígena,Os aliados são propensos a traições
Escapar da fúria de um feiticeiro,Uma nave espacial que caiu no planeta,Espíritos antigos,Formação de cristal inteligente,Um antigo inimigo está por trás de tudo
Sobreviver a um desastre natural,Uma pirâmide invertida no topo de uma montanha,Um homem imortal,Armadura Viva,Um antigo inimigo se mostra como aliado
Escapar da acusação de um crime que não cometeram,A morada de um antigo feiticeiro que só aparece por alguns momentos antes de desaparecer,Energia viva,Estátua,"O que parece sobrenatural, na verdade, não é"
